epoch,accuracy,loss,val_accuracy,val_loss
0,0.25331103801727295,2.2092020511627197,0.5167410969734192,1.873955488204956
1,0.45743533968925476,1.8678221702575684,0.5643970370292664,1.7632943391799927
2,0.586783766746521,1.56863272190094,0.7020089030265808,1.3232816457748413
3,0.6449353694915771,1.3489413261413574,0.7350286841392517,1.2121143341064453
4,0.695277750492096,1.1714224815368652,0.7751116156578064,0.9771790504455566
5,0.7353745102882385,1.0344154834747314,0.7752255797386169,0.949550211429596
6,0.7547748684883118,0.9525784254074097,0.7996651530265808,0.8177959322929382
7,0.7758620977401733,0.8752952218055725,0.8129614591598511,0.7878727912902832
8,0.7780566215515137,0.8257613778114319,0.83984375,0.6679781079292297
9,0.7974137663841248,0.7970374822616577,0.8342903852462769,0.6758759617805481
10,0.8091453909873962,0.7277878522872925,0.8465401530265808,0.6306942105293274
11,0.8151939511299133,0.7051305174827576,0.8564397096633911,0.5743466019630432
12,0.8299177289009094,0.6636375784873962,0.8683035969734192,0.5519959926605225
13,0.8248922228813171,0.6574528217315674,0.8695651888847351,0.5658974647521973
14,0.8463683128356934,0.6144318580627441,0.8850446343421936,0.5046605467796326
15,0.8459051847457886,0.5803054571151733,0.8917145133018494,0.5041947960853577
16,0.8604488968849182,0.5681406855583191,0.8989955186843872,0.46474120020866394
17,0.8631465435028076,0.5582500696182251,0.9064807295799255,0.44310685992240906
18,0.8710442185401917,0.5344323515892029,0.9107142686843872,0.4283410608768463
19,0.8755387663841248,0.5158450603485107,0.9130434989929199,0.4196166694164276
